,7m,8m,9m,10m,11m,12m,now,stock
,0.00,194.50,46.00,0.00,420.00,812.00,358.00,
,472.00,224.00,126.00,284.00,333.00,186.00,291.00,
,80.00,150.00,100.00,116.00,257.00,267.00,262.00,
,0.00,0.00,0.00,0.00,148.00,474.00,218.00,
,306.00,453.00,319.00,229.00,429.00,423.00,205.00,
,14.00,70.00,35.00,42.00,84.00,84.00,156.00,
,315.00,214.00,567.00,155.00,387.00,219.00,577.00,
,21.00,35.00,28.00,35.00,35.00,133.00,219.00,
,447.00,435.00,755.50,590.00,352.00,77.00,981.00,
,0.00,0.00,0.00,0.00,0.00,0.00,30.00,
,0.00,44.00,30.00,0.00,0.00,0.00,226.00,
,30.00,50.00,30.00,0.00,60.00,74.00,245.00,
,883.50,694.50,"1,145.50",502.00,553.50,571.50,423.00,
,0.00,0.00,24.00,105.00,45.00,36.00,137.00,
,0.00,0.00,0.00,0.00,180.00,0.00,0.00,
,0.00,42.00,0.00,0.00,0.00,0.00,0.00,
,255.00,274.00,84.00,0.00,21.00,15.00,244.00,
,6.00,28.00,48.00,0.00,22.00,0.00,64.00,
,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
,0.00,0.00,5.00,4.00,0.00,0.00,2.00,
,249.00,345.50,476.00,256.00,217.00,113.00,152.50,
,18.00,57.00,9.00,21.00,0.00,0.00,-21.00,
,126.00,300.00,0.00,300.00,240.00,180.00,281.00,
,0.00,6.00,20.00,112.00,56.00,18.00,773.00,
,37.00,34.00,38.00,30.00,29.00,36.00,30.00,
,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
,30.00,30.00,30.00,0.00,0.00,0.00,60.00,
,62.00,34.00,0.00,0.00,0.00,0.00,187.00,
,0.00,0.00,0.00,0.00,0.00,0.00,110.00,
,57.00,90.00,162.00,227.00,317.00,257.00,285.00,
,0.00,0.00,4.00,0.00,0.00,0.00,4.00,
,0.00,0.00,0.00,0.00,0.00,0.00,36.00,
,0.00,90.00,0.00,0.00,0.00,0.00,0.00,
,1.00,5.00,3.00,1.00,0.00,2.00,13.00,
,118.00,35.00,28.00,56.00,35.00,64.00,670.00,
,37.00,30.00,30.00,30.00,30.00,30.00,241.00,
,0.00,0.00,0.00,0.00,0.00,0.00,180.00,
,28.00,14.00,7.00,29.00,60.00,21.00,113.00,
,28.00,60.00,0.00,60.00,60.00,0.00,246.00,
,1.00,2.00,1.00,1.00,1.00,0.00,3.00,
,90.00,0.00,0.00,0.00,0.00,0.00,0.00,
,60.00,54.00,62.00,55.00,49.00,62.00,34.00,
,840.00,710.00,553.00,717.00,"1,013.00",746.00,590.00,
,0.00,0.00,0.00,0.00,0.00,51.00,69.00,
,0.00,0.00,0.00,0.00,0.00,9.00,243.00,
,0.00,0.00,0.00,0.00,0.00,0.00,69.00,
,0.00,0.00,0.00,0.00,0.00,0.00,110.00,
,88.00,88.00,122.00,48.00,44.00,134.00,134.00,
,0.00,0.00,14.00,37.00,7.00,0.00,50.00,
